FID,OBJECTID,NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,COTA,ESTADO_INS,FECHA_RE,RES,FECHA_RES_,RES_PDC,METODO_CON,OBS,NEAR_FID,NEAR_DIST,OBSVCN,Vol_Parcia,Vol_Total_,Ton_Parcia,Ton_Total_,Area_1,NORTE_GEO,ESTE_GEO
0,2,ENAMI,PLANTA JOSE ANTONIO MORENO,II,ANTOFAGASTA,TALTAL,PUNTA MORADO,TRANQUE DE RELAVE,COBRE,"7,191,282.314899999600000","353,574.436500000010000",20.000000000000000,NO ACTIVO,29-09-1992,1161,04-06-2015,1530, , ,"80,739",511.258587545000010, ,0,0,0,0,"154,852",-25.3880774354792,-70.4555610791842
1,615,CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 5,TRANQUE DE RELAVE,COBRE-ORO-PLATA,"6,393,867.390599999600000","322,933.805700000030000",536.000000000000000,NO ACTIVO,24-03-2008,252,07-04-2009,615,EJE CENTRAL, ,"47,007",359.318484561999980, ,0,"1,625,000",0,"2,473,500","40,000",-32.5785158418819,-70.886399276669
2,616,CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 4,TRANQUE DE RELAVE,COBRE-ORO-PLATA,"6,393,748.856999999800000","323,198.389599999990000",536.000000000000000,NO ACTIVO,S/I,S/I,07-04-2009,615,AGUAS ARRIBA,SE INFORMA TRANQUE ENTRE EL 4 Y 5,"47,007",306.162035081999990,1.1,0,"1,050,000",0,"1,575,000","35,000",-32.5796268262807,-70.8836041618026
3,617,CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 3,TRANQUE DE RELAVE,COBRE-ORO-PLATA,"6,393,617.623399999900000","323,441.806800000020000",536.000000000000000,NO ACTIVO,19-07-1972,135,07-04-2009,615,AGUAS ARRIBA, ,"47,007",196.004453184999990, ,0,"660,000",0,"990,000","26,000",-32.5808488805148,-70.881036770482
4,618,CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 2,TRANQUE DE RELAVE,COBRE-ORO-PLATA,"6,393,435.589700000400000","323,657.707200000000000",536.000000000000000,NO ACTIVO,S/I,S/I,07-04-2009,615,AGUAS ARRIBA,OP 1944,"47,007",118.064533258000000, ,0,"590,000",0,"885,000","16,000",-32.5825245220458,-70.8787718936451
5,619,CIA. MINERA CERRO NEGRO S.A.,PLANTA CERRO NEGRO,V,PETORCA,CABILDO,CERRO NEGRO 1,TRANQUE DE RELAVE,COBRE-ORO-PLATA,"6,393,357.272900000200000","323,740.257400000000000",536.000000000000000,NO ACTIVO,S/I,S/I,07-04-2009,615,AGUAS ARRIBA,OP 1945,"47,007",146.236699106000000, ,0,"480,000",0,"720,000","13,000",-32.5832437800274,-70.8779075272398
6,620,ALEJANDRO LOPEZ ALIAGA,PLANTA VETA DEL AGUA,V,QUILLOTA,NOGALES,VETA DEL AGUA 1-2-3-4,EMBALSE,ORO,"6,381,689.539099999700000","300,150.408799999980000",467.000000000000000,NO ACTIVO,S/I,S/I, , ,N_A,"VOL =1+2+3+4. COLAPSARON TODOS, VOL DEBE SER MENOR","47,754",116.640663816000000,2.1,0,"1,565,000",0,"2,347,500",0,-32.6844180826004,-71.131591181795
7,621,ALEJANDRO LOPEZ ALIAGA,PLANTA VETA DEL AGUA,V,QUILLOTA,NOGALES,VETA DEL AGUA 6,EMBALSE,ORO,"6,381,894.326999999600000","299,810.683100000020000",467.000000000000000,ACTIVO,20-06-2011,1784, , ,N_A, ,"47,754",98.140227017200004, ,"350,000","358,795","525,000","538,192",0,-32.6825104048822,-71.1351685690133
8,622,MINERA LAS JUNTAS (EX MINAS SAN ANDRES),PLANTAS EL PINGO Y SANTA MARIA,IV,LIMARI,MONTE PATRIA,EL PINGO 1,TRANQUE DE RELAVE,COBRE-ORO,"6,586,777.100599999500000","348,766.995600000020000","1,700.000000000000000",NO ACTIVO,04-01-1989,11,N_A,N_A,EJE CENTRAL, ,"67,596",79.503896615700000, ,0,"101,600",0,"152,400","5,800",-30.8425496023855,-70.5814660762407
9,9,MANTOS COOPER,MANTOS BLANCOS,II,ANTOFAGASTA,ANTOFAGASTA,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,"7,407,094.865199999900000","393,418.534500000010000",877.000000000000000,NO ACTIVO,12-07-1979,1218,14-02-2013,209, , ,"69,449",948.400276933999980, ,0,"5,333,333",0,"8,000,000",0,-23.4426198204894,-70.043400099307
